city,lng,lat,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
Tadine,167.8833,-21.55,23.03,78,6.61,100,NC,1623487179
Tomigusuku,127.675,26.185,30.08,80,3.6,75,JP,1623487179
Havelock,-76.9013,34.8791,25.01,92,2.24,37,US,1623487179
Tarko-Sale,77.785,64.9225,15.0,89,8.99,100,RU,1623487179
Comodoro Rivadavia,-67.5,-45.8667,14.92,47,11.32,0,AR,1623486997
Airai,125.4092,-8.9266,17.19,88,1.44,100,TL,1623487180
Ushuaia,-68.3,-54.8,4.81,81,3.09,0,AR,1623487180
Severo-Kuril'sk,156.125,50.6789,10.13,81,3.53,96,RU,1623487180
Salalah,54.0924,17.0151,31.05,79,6.69,75,OM,1623487092
Hirara,125.2833,24.8,30.15,74,5.14,40,JP,1623487067
Cape Town,18.4232,-33.9258,18.39,81,2.57,0,ZA,1623486981
Qaanaaq,-69.3632,77.484,0.42,69,2.39,75,GL,1623487181
Tegul'det,88.1667,57.3064,20.61,26,2.06,93,RU,1623487181
Torbay,-52.7314,47.6666,7.54,84,5.14,75,CA,1623487182
Upernavik,-56.1549,72.7868,1.7,95,2.75,100,GL,1623487182
Cherskiy,161.3,68.75,8.02,56,3.81,0,RU,1623486917
Tessalit,1.0114,20.1986,38.44,13,5.05,0,ML,1623487173
Mantamádos,26.3339,39.3117,26.07,46,1.69,11,GR,1623487183
Klaksvík,-6.589,62.2266,8.51,81,10.54,98,FO,1623487183
Tuktoyaktuk,-133.0374,69.4541,3.59,82,3.66,58,CA,1623487183
Bilma,12.9164,18.6853,38.46,12,8.9,65,NE,1623487183
Vaini,-175.2,-21.2,22.09,78,5.14,20,TO,1623487184
Hermanus,19.2345,-34.4187,17.17,61,0.2,100,ZA,1623487184
Hobart,147.3294,-42.8794,13.4,94,6.17,75,AU,1623487005
Robertsport,-11.3686,6.7533,26.81,76,1.55,92,LR,1623487184
Bubaque,-15.8333,11.2833,26.87,79,0.47,100,GW,1623487185
Thompson,-97.8558,55.7435,12.09,94,3.6,90,CA,1623487185
New Norfolk,147.0587,-42.7826,13.2,87,0.89,100,AU,1623487185
Huarmey,-78.1522,-10.0681,18.12,87,2.61,55,PE,1623487185
Blagaj,17.8886,43.2575,23.98,43,2.57,20,BA,1623487185
Katsuura,140.3,35.1333,29.02,82,5.54,76,JP,1623487186
Kifrī,44.9661,34.6959,35.47,13,7.48,0,IQ,1623487186
Kuah,99.8432,6.3265,33.0,74,2.06,40,MY,1623487186
Kosikha,84.5822,53.3617,19.43,58,2.62,100,RU,1623487186
São João da Barra,-41.0511,-21.6403,20.63,81,7.07,99,BR,1623487029
Hambantota,81.1185,6.1241,34.19,55,8.23,40,LK,1623487153
Tilichiki,166.1,60.4667,8.38,78,1.48,100,RU,1623487187
Warrington,-2.5802,53.3925,16.31,71,1.79,93,GB,1623487108
Hithadhoo,73.0833,-0.6,28.38,73,4.5,16,MV,1623487188
Rikitea,-134.9692,-23.1203,24.56,84,7.9,100,PF,1623487188
Simbahan,120.5836,6.3032,28.86,73,3.21,10,PH,1623487188
Albany,-73.9662,42.6001,15.85,91,0.87,99,US,1623487188
Nova Londrina,-52.985,-22.7658,12.04,77,3.18,11,BR,1623487189
Mataura,168.8643,-46.1927,7.1,85,1.65,100,NZ,1623487189
Puerto Ayora,-90.3518,-0.7393,22.53,93,1.79,66,EC,1623487189
Şebinkarahisar,38.4236,40.2883,20.15,45,2.19,15,TR,1623487189
Nurota,65.6886,40.5614,34.05,13,6.58,0,UZ,1623487190
San Patricio,-97.5169,28.017,27.94,97,2.99,19,US,1623487190
Jamestown,-79.2353,42.097,17.14,100,3.09,90,US,1623487190
Castlemaine,144.2167,-37.0667,12.93,80,1.26,100,AU,1623487191
Hay River,-115.7999,60.8156,10.99,93,1.54,75,CA,1623487191
Mildura,142.15,-34.2,13.98,67,3.09,90,AU,1623487048
Lusaka,28.2871,-15.4067,20.44,38,3.59,6,ZM,1623487191
Bluff,168.3333,-46.6,9.57,78,3.87,100,NZ,1623487191
Paraty,-44.7131,-23.2178,18.5,94,1.05,100,BR,1623487192
Abhā,42.5053,18.2164,29.9,12,5.14,67,SA,1623487192
Yar-Sale,70.8333,66.8333,16.88,59,6.67,100,RU,1623487192
